interaction_id,timestamp,query_type,handled_by,response_time_min,resolution_status,customer_sentiment,customer_satisfaction,interaction_cost_usd,customer_id,region,device_type,follow_up_required
d3053ddd-7ea3-447d-9c52-2d2e14ff40fe,2024-04-12,Billing Question,AI Chatbot,1.88,Resolved,0.12,3,2.81,06f211ac-4d8e-4a98-988c-be2d96c45b2f,Delaware,Mobile,False
4a2c75d4-8687-4350-a595-f15e82720fbd,2024-04-26,Password Reset,AI Chatbot,1.09,Resolved,0.14,4,0.13,bad3cd0f-24e7-4999-8e76-ccd77483db4e,Hawaii,Tablet,False
e9f26019-4e13-4470-8068-81a4dfa5cf83,2024-02-18,Shipping Inquiry,AI Chatbot,1.13,Pending,0.26,2,2.75,fd882d13-6f84-4969-b36a-9958b58b2380,Maryland,Mobile,False
b6e712b5-aa16-4ff0-a9cd-90f3cb11fe84,2024-04-17,Account Update,AI Chatbot,1.12,Resolved,0.33,3,4.42,fba76a29-dd57-4cfa-98a5-ce9d7f3c82f7,Connecticut,Mobile,True
5c6ca2ba-8c3d-4567-a336-5c0bb6e0978d,2024-03-24,Billing Question,Human Agent,9.85,Escalated,0.87,2,5.26,daee835d-3f72-493e-beff-b2026da9ab53,Mississippi,Mobile,True
bdf5a660-d280-4312-ae37-953b1cc17b65,2024-05-11,Billing Question,Human Agent,15.33,Resolved,0.76,4,7.26,c04a95fa-00cd-42fe-9828-c4ad7d9e5d7b,Nebraska,Tablet,True
2da13fcc-4577-4379-b1ca-6e3f025fe562,2024-02-09,Technical Support,AI Chatbot,1.68,Resolved,0.79,4,3.63,ee09989b-9cac-414f-8a58-9e138ef257c3,South Dakota,Mobile,False
93243216-d728-462f-98af-cde3f29a1163,2024-06-05,Technical Support,AI Chatbot,1.03,Resolved,0.48,4,4.33,591b93cd-3a1f-40d2-9f48-1a0f3c546817,Hawaii,Desktop,False
13a2adf0-1e52-47aa-b155-c2ad7f9da8d1,2024-02-02,Password Reset,AI Chatbot,1.65,Pending,0.48,2,4.75,db9a0c54-a83c-4ed8-98af-5e00a01dd389,Maine,Mobile,True
c92c6469-90dc-4657-8770-2c728a30b02d,2024-05-30,Password Reset,AI Chatbot,2.17,Resolved,0.82,2,4.6,8de77c46-9606-4f6d-84f8-eda18e819c42,Vermont,Mobile,False
49dab11d-9bd3-4c25-aed9-ad25feee8f30,2024-05-10,Account Update,AI Chatbot,2.55,Resolved,0.4,2,4.23,d92aeb60-4cdd-444f-88e3-cf0023bdcb88,Kansas,Tablet,True
df6fa4a6-ad91-4442-9638-c77a9228df3a,2024-06-27,Technical Support,Human Agent,2.74,Resolved,0.71,3,7.54,2676b3e0-c056-4f18-b3a4-261e3eddc558,Michigan,Mobile,False
5861e8e7-2120-4133-a31d-105aeedf7b39,2024-06-19,Technical Support,Human Agent,7.41,Resolved,0.58,4,8.34,1e2e268b-c0f8-4c00-8958-cdb6ccd5ed83,Maine,Mobile,False
fcc84749-e954-4c28-8ea8-98e35080dde5,2024-05-13,Billing Question,Human Agent,5.76,Escalated,-0.02,2,6.46,be811423-8f0f-43bf-84af-80f4a7141ae8,Maryland,Tablet,False
ae2c873c-95c9-4c8c-8ff6-3eb901f3a20e,2024-05-08,Billing Question,Human Agent,10.82,Escalated,0.31,3,6.65,4d3d2caa-208e-4477-8326-143bb674a25f,Rhode Island,Tablet,False
b23af224-ad73-4cad-b598-3dd3872bed6d,2024-06-13,Product Information,AI Chatbot,0.87,Resolved,0.05,4,0.81,5d546830-45e7-416e-8cbc-24b7ae80a5cb,Colorado,Mobile,False
a5ea44f6-508a-4451-99be-36b62f7b89cb,2024-03-02,Product Information,AI Chatbot,0.2,Resolved,0.29,4,2.35,d87cebb7-161d-4630-a68c-bc5b374033db,North Dakota,Tablet,False
702bdcc5-a42d-44b1-aaf6-3ddf3d8e6f54,2024-02-23,Shipping Inquiry,Human Agent,10.71,Resolved,-0.03,2,9.22,c965c21d-379e-4b3c-b648-7bb8343fc8e1,Florida,Mobile,False
8451f4c1-6c79-41fa-a986-f27913ef1581,2024-03-08,Account Update,Human Agent,3.03,Escalated,0.2,3,6.97,c30f1d9f-9bb4-44cf-b851-0d094b562b02,Utah,Tablet,False
54efe456-aabb-48b1-8779-ff952ca17554,2024-05-23,Product Information,AI Chatbot,0.81,Resolved,0.13,5,4.31,b48134d5-17be-4286-b8d6-0a779e68b0c7,Wisconsin,Desktop,True
2e086754-f844-4d62-962f-1bf0f66f13c0,2024-05-26,Shipping Inquiry,Human Agent,8.28,Escalated,-0.34,4,8.31,199ab9e8-b073-4541-869f-2152793edf03,North Dakota,Mobile,False
a140abfb-fdfd-4806-8037-39ba05b7ab7e,2024-06-07,Account Update,AI Chatbot,2.07,Escalated,-0.07,4,6.81,7a1e7a77-2c82-4e48-bf9b-344cc4494ac6,South Carolina,Desktop,False
79e4db0d-8e88-4654-8beb-9843712bee4f,2024-02-17,Password Reset,AI Chatbot,2.2,Resolved,0.35,4,1.4,a7595ed7-03e2-4de5-95c2-eb8b8b210c77,Delaware,Mobile,False
360f3760-3201-4ebe-a4cd-072d6972c8ae,2024-05-27,Product Information,AI Chatbot,1.93,Resolved,0.67,4,1.93,c8b12d8e-4447-4c19-9c23-2182028395d2,Colorado,Mobile,True
50cce8fe-ea5d-45aa-8cf2-74b65937f6a3,2024-05-07,Shipping Inquiry,Human Agent,0.5,Pending,0.16,1,6.96,3890148d-c977-4dca-a456-817408e0628d,Mississippi,Desktop,False
494dcdc5-7022-48a1-97e7-0428470e518f,2024-05-15,Technical Support,AI Chatbot,2.08,Resolved,0.87,3,1.84,5aee99f8-711f-4584-8854-47deddf92961,South Carolina,Desktop,False
80a7930f-54de-4a00-a213-59a46e0676b6,2024-02-07,Password Reset,AI Chatbot,2.14,Resolved,0.29,5,0.98,a3cfd900-96b6-425a-a359-3186018b1ebf,Hawaii,Tablet,False
a65306ec-0e05-421d-a146-4e133f470896,2024-03-01,Product Information,Human Agent,11.44,Resolved,0.52,3,7.29,9947beda-4c17-4d22-94b8-a3343915ef41,Minnesota,Tablet,False
2502945f-99bd-4821-a812-a68464d63202,2024-01-06,Password Reset,Human Agent,8.42,Pending,0.38,1,8.17,5fe12b09-1c07-458d-a34a-0c787554df0f,New Jersey,Desktop,False
afe076ce-50c8-4876-9cb8-9870f5b44580,2024-06-09,Password Reset,Human Agent,7.64,Escalated,0.03,3,9.64,6e38f231-e179-41e2-90d5-625b0545fa77,Colorado,Tablet,True
98ec6975-6232-46bd-bc54-8998d4a7ecb5,2024-02-01,Shipping Inquiry,AI Chatbot,0.59,Resolved,0.07,4,2.33,c5d7da83-5f60-4a86-9237-7346c67eb8ca,Tennessee,Tablet,True
5082acce-3a7a-4e5a-9c66-897659c2324e,2024-06-24,Technical Support,AI Chatbot,1.03,Resolved,-0.21,3,3.29,48711bdb-2342-4d5b-a6f9-0d42df495c72,Illinois,Desktop,True
082bc524-29c7-4c68-980e-7a1c08b6b890,2024-02-05,Technical Support,AI Chatbot,2.43,Escalated,0.6,2,4.14,15806cb3-e859-4559-975b-5fff2f0c26f1,New Jersey,Mobile,False
0874a0e7-36e1-4ba9-81c5-01d019fe3074,2024-03-06,Billing Question,Human Agent,3.4,Resolved,0.76,3,7.89,a9cf58a7-d5dd-490b-a48a-3e5c33b889cb,Missouri,Mobile,True
